sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName		targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime		referenceDoi	referenceUrl	referenceCitation
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3319	Abies										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3808	Acacia										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3515	Alnus										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3504	Betula										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3321	Cedrus										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid4398	Liquidambar										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3413	Liriodendron										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3337	Pinus										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid4402	Platanus										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0008505	nests in		NCBI:txid3689	Populus										Andernos-les-Bains, France					2007/2014		10.1007/s13355-016-0470-z	https://link.springer.com/content/pdf/10.1007/s13355-016-0470-z.pdf	Franklin DN, Brown MA, Datta S, Cuthbertson AGS, Budge GE, Keeling MJ. 2017. Invasion dynamics of Asian hornet, Vespa velutina (Hymenoptera: Vespidae): a case study of a commune in south-west France. Applied Entomology and Zoology 52: 221-229. doi:10.1007/s13355-016-0470-z
