provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
stings,,participates in a biotic-biotic interaction with,http://purl.obolibrary.org/obo/RO_0002574
reproductive interference,,participates in a biotic-biotic interaction with,http://purl.obolibrary.org/obo/RO_0002574
